"","site.id","dataset.id","site.name","lon","lat","depth","sample.number","Ash","Beech","Birch","Chestnut","Elm","Hemlock","Hickory","Maple","Oak","Other conifer","Other hardwood","Pine","Poplar","Spruce","Tamarack"
"1","333",340,"Caribou Bog",-68.77344,44.93672,57,2,2,27,111,0,0,107,0,3,7,2,5,50,0,8,0
"2","657",673,"Deer Lake Bog",-71.833333,44.033333,60,4,3,47,100,3,4,35,0,6,17,24,9,34,0,39,0
"3","753",772,"Duck Pond",-70.0005,41.9327,55,8,4,36,27,1,4,11,9,1,73,3,7,162,0,1,0
"4","941",971,"Gould Pond",-69.316667,44.983333,840,11,7,40,72,1,3,116,0,5,10,13,6,14,0,7,1
"5","942",972,"Gould's Bog",-72.183333,42.533333,40,7,16,35,231,4,2,154,14,5,227,1,31,70,0,5,0
"6","1481",1518,"Kinsman Pond",-71.733333,44.133333,30,7,7,57,150,0,4,28,1,6,16,8,28,22,0,25,1
"7","1615",1667,"Lost Pond",-71.251389,44.246944,100,6,5,27,195,0,1,17,0,7,17,5,22,33.5,1,28.5,0
"8","1643",1698,"Mansell Pond",-68.733333,45.041667,752,21,13,117,415,0,4,182,0,30,52,6.5,37,197,15,86.5,6
"9","2795",2892,"Upper South Branch Pond",-68.9,46.083333,20,11,5,23,126,0,2,23,0,9,3,10,8,74,1,56,2
"10","2805",2902,"Valhalla Hollow",-74.370833,44.308611,18,12,1,45,128,0,9,31,1,4,15,12,9,58,0,31,0
"11","2862",2959,"Winneconnet Pond",-71.116667,41.966667,40,7,5,7,17,0,2,5,4,7,62,5,88,10,3,1,0
"12","728",3130,"Heart Lake",-73.9675,44.180556,30,3,12,42,262,0,9,53,2,5,41,29,18,106,0,135,2
"13","3529",4557,"Aino Pond",-71.926667,42.679722,71,36,11,92,125,6,1,122,9,11,69,5,10,63,0,19,0
"14","9866",14624,"Big Reed Pond Hollow",-69.0517,46.35065,14,5,12,14,161,0,0,4,0,4,2,20,9,57,0,54.5,0
"15","9889",14674,"Blackwoods Hollow",-68.22364,44.313195,18,4,0,8,666,0,1,27,0,11,2,9.5,43,29.5,0,70,0
"16","9890",14676,"Buckley Pond Hollow",-69.049415,46.334815,15,7,9,3,78,0,0,20,0,1,2,10.5,1,107,0,126.5,0
"17","10026",15009,"Jemima Pond",-69.9847,41.82961,112,15,5,21,25,1,3,16,23,6,285,2,39,50,1,2,0
"18","10029",15022,"Fresh Pond",-70.532835,41.59412,32,17,5,14,41,0,4,33,7,11,154,6,18,276,0,7,0
"19","10435",15935,"Little Mirror Lake",-71.60848,42.524435,53,27,0,30,77,13,5,58,6,11,170,4,18,110,1,16,0
"20","10515",16175,"Binnewater Pond",-74.551335,41.40935,60,6,4,16,37,5,7,30,23,5,174,1,78,18,0,0,0
"21","234",237,"Basin Pond",-70.05,44.47,175,17,9,27,116,0,4,42,0,10,27,2,12,50,1,31,0
"22","331",338,"Carbuncle Pond",-71.783333,41.7,46,11,6,16,23,4,3,10,7,4,159,0,20,36,0,1,0
"23","482",494,"Clear Pond",-74.016955,43.748575,250,7,8,84,122,2,7,44,3,17,22,4,12,83,1,28,0
"24","775",795,"Ely Lake",-75.833333,41.766667,180,6,7,41,64,7,4,109,9,10,48,3,17,50,0,1,0
"25","1656",1712,"Mashapaug Pond",-71.433333,41.783333,117,30,8,12,25,1,0,12,14,3,165,1,24,16,0,2,0
"26","1716",1773,"Moulton Pond",-68.639167,44.6275,60,4,15,77,157,0,5,113,0,11,45,1,35,124,3,28,0
"27","1797",1859,"Pasacaco Pond",-71.45,41.516667,131,36,2,4,26,1,1,6,14,5,155,1,55,22,0,0,0
"28","2539",2629,"Taupawshas Bog",-70.058333,41.275,70,8,0,42,22,0,1,0,2,2,116,0,18,17,0,0,0
"29","2536",15866,"Tannersville Bog",-75.266667,41.033333,240,24,55,6,23,3,0,17,8,1,45,0,3,12,0,21,0
"30","13583",20515,"Lake Grinnell",-74.63963,41.098185,16,3,1,5,17,0,3,26,33,4,140,1,3,27,0,0,5
"31","249",254,"Belmont Bog",-77.916667,42.25,40,6,8,22,37,5,4,100,7,11,36,0,22,67,3,0,0
"32","844",873,"Giles Lake",-75.093333,41.376111,47,17,5,27,41,10,3,45,8,7,85,0,15,112,0,3,0
"33","953",983,"Green Pond",-74.49534,41.005055,62,15,8,10,36,33,4,12,18,5,147,1,16,14,2,0,0
"34","998",1031,"Helmetta Bog",-74.433333,40.383333,70,5,0,0,1,1,3,7,2,4,183,0,19,54,0,0,0
"35","1080",1113,"Houghton Bog",-78.670278,42.541667,73,8,24,96,71,3,28,121,12,55,75,0,32,56,0,0,0
"36","1530",1568,"Lake Lacawac",-75.292778,41.381944,53,26,8,41,59,6,2,99,4,9,52,0,12,33,0,2.5,0
"37","1759",1817,"North Pond",-73.05,42.65,20,3,9,86,95,11,6,57,4,10,51,1,16,24,0,0,0
"38","1914",1980,"Protection Bog",-78.466667,42.622222,72.5,11,13,162,61,4,22,150,10,47,60,0,34,23,0,0,3
"39","2194",2270,"Rogers Lake",-72.29915,41.3525,122.6,12,12,49,73,21,7,46,55,21,443,9,147,55,6,3,0
"40","2508",2593,"Spruce Pond",-74.1833,41.23687,75,13,10,19,39,13,3,15,17,7,184,0,21,15,0,1,0
"41","2527",2617,"Sutherland Pond",-74.037778,41.391389,70,7,0,11,43,8,5,30,34,0,177,1,19,26,0,0,1
"42","2531",2621,"Swartswood Lake",-74.83698,41.072335,72,14,4,9,29,14,4,23,18,7,170,0,29,32,0,0,0
"43","2554",2645,"Titicut Swamp",-71.033333,41.95,124,8,7,31,60,1,3,13,8,9,206,4,22,69,0,3,0
"44","558",3493,"Mohawk Pond",-73.292685,41.81115,50,2,20,33,72,66,13,27,20,11,174,4,27,43,0,2,0
"45","10155",15292,"Byron-Bergen Swamp (Site 2)",-78.002715,43.09816,20,3,4,20,15,0,15,49,5,12,38,1,11,124,1,2,5
"46","10157",15296,"Byron-Bergen Swamp (Site 1)",-78.014515,43.09791,40,4,0,15,20,0,62,8,1,44,4,48,25,64,0,1,5
"47","10172",15325,"Black Gum Swamp",-72.1829,42.5375,17,8,8,39,153,36,3,21,2,12,88,5,29,91,6,19,0
"48","10422",15904,"Divers Lake",-78.399245,43.04099,81,11,32,37,40,8,35,27,19,15,140,3,49,71,3,1,0
"49","11805",17880,"Lost Swamp",-72.4211,42.82814,29,13,5,85,185,8,1,35,3,30,24,0,30,52.5,0,1.5,0
"50","701",721,"Donut Pond Bog",-70.058333,41.275,96,15,5,10,51,0,5,23,2,4,186,0,22,65.5,0,9,0
