"","x"
"1","Abies"
"2","Abies.balsamea"
"3","Acalypha"
"4","Acer"
"5","Acer.negundo"
"6","Acer.pensylvanicum"
"7","Acer.rubrum"
"8","Acer.saccharinum"
"9","Acer.saccharinum.type"
"10","Acer.saccharum"
"11","Acer.saccharum.type"
"12","Acer.spicatum"
"13","Acer.undiff."
"14","Achillea.type"
"15","Acorus.calamus"
"16","Actaea.rubra"
"17","Adiantum"
"18","Adiantum.pedatum"
"19","Agoseris.glauca.type"
"20","Agrimonia"
"21","Ailanthus"
"22","Alisma"
"23","Allium"
"24","Alnus"
"25","Alnus..hexaporate."
"26","Alnus.incana"
"27","Alnus.incana.type"
"28","Alnus..pentaporate."
"29","Alnus..tetraporate."
"30","Alnus..triporate."
"31","Alnus.undiff."
"32","Alnus.viridis"
"33","Alnus.viridis.subsp..crispa"
"34","Alnus.viridis.type"
"35","Amaranthaceae"
"36","Amaranthaceae.undiff."
"37","Ambrosia"
"38","Ambrosia.type"
"39","Amorpha"
"40","Anacardiaceae"
"41","Anemone.sect..Hepatica"
"42","Angiospermae.undiff...herbs."
"43","Apiaceae"
"44","Apiaceae.undiff."
"45","Apocynum"
"46","Aquifoliaceae"
"47","Arabis"
"48","Araceae.subf..Lemnoideae"
"49","Araliaceae"
"50","Arceuthobium"
"51","Arenaria"
"52","Artemisia"
"53","Asplenium.type"
"54","Asteraceae"
"55","Asteraceae.subf..Asteroideae"
"56","Asteraceae.subf..Asteroideae.undiff."
"57","Asteraceae.subf..Cichorioideae"
"58","Asteraceae.undiff."
"59","Athyrium"
"60","Athyrium.type"
"61","Avena.Triticum"
"62","Betula"
"63","Betulaceae.Myricaceae.undiff."
"64","Betulaceae.undiff."
"65","Betula.mean.pollen.grain.diameter"
"66","Betula..shrub."
"67","Betula..small."
"68","Betula..tree."
"69","Betula.undiff."
"70","Bistorta.bistortoides.type"
"71","Bistorta.vivipara"
"72","Boraginaceae"
"73","Botrychium"
"74","Botrychium.multifidum"
"75","Botrychium.undiff."
"76","Botryococcus"
"77","Brasenia"
"78","Brasenia.schreberi"
"79","Brassicaceae"
"80","Brassicaceae.type"
"81","Bryophyta.undiff."
"82","Bryopsida"
"83","Calla.palustris"
"84","Caltha"
"85","Caltha.type"
"86","Campanula"
"87","Campanulaceae"
"88","Cannabaceae"
"89","Cannabaceae.sensu.stricto"
"90","Cannabis.sativa"
"91","Caprifoliaceae"
"92","Caprifoliaceae.sensu.lato"
"93","Caprifoliaceae.sensu.lato.undiff."
"94","Carex"
"95","Carya"
"96","Carya.ovata"
"97","Caryophyllaceae"
"98","Caryophyllaceae.undiff."
"99","Castanea"
