"target","latin","match"
"Abies","Conifer","Other conifer"
"Abies.balsamea","Conifer","Other conifer"
"Acalypha",NA,NA
"Acer","Acer","Maple"
"Acer.negundo","Acer","Maple"
"Acer.pensylvanicum","Acer","Maple"
"Acer.rubrum","Acer","Maple"
"Acer.saccharinum","Acer","Maple"
"Acer.saccharinum.type","Acer","Maple"
"Acer.saccharum","Acer","Maple"
"Acer.saccharum.type","Acer","Maple"
"Acer.spicatum","Acer","Maple"
"Acer.undiff.","Acer","Maple"
"Achillea.type",NA,NA
"Acorus.calamus",NA,NA
"Actaea.rubra",NA,NA
"Adiantum",NA,NA
"Adiantum.pedatum",NA,NA
"Agoseris.glauca.type",NA,NA
"Agrimonia",NA,NA
"Ailanthus",NA,NA
"Alisma",NA,NA
"Allium",NA,NA
"Alnus","Deciduae","Other hardwood"
"Alnus..hexaporate.","Deciduae","Other hardwood"
"Alnus.incana","Deciduae","Other hardwood"
"Alnus.incana.type","Deciduae","Other hardwood"
"Alnus..pentaporate.","Deciduae","Other hardwood"
"Alnus..tetraporate.","Deciduae","Other hardwood"
"Alnus..triporate.","Deciduae","Other hardwood"
"Alnus.undiff.","Deciduae","Other hardwood"
"Alnus.viridis","Deciduae","Other hardwood"
"Alnus.viridis.subsp..crispa","Deciduae","Other hardwood"
"Alnus.viridis.type","Deciduae","Other hardwood"
"Amaranthaceae",NA,NA
"Amaranthaceae.undiff.",NA,NA
"Ambrosia",NA,NA
"Ambrosia.type",NA,NA
"Amorpha",NA,NA
"Anacardiaceae",NA,NA
"Anemone.sect..Hepatica",NA,NA
"Angiospermae.undiff...herbs.",NA,NA
"Apiaceae",NA,NA
"Apiaceae.undiff.",NA,NA
"Apocynum",NA,NA
"Aquifoliaceae",NA,NA
"Arabis",NA,NA
"Araceae.subf..Lemnoideae",NA,NA
"Araliaceae",NA,NA
"Arceuthobium",NA,NA
"Arenaria",NA,NA
"Artemisia",NA,NA
"Asplenium.type",NA,NA
"Asteraceae",NA,NA
"Asteraceae.subf..Asteroideae",NA,NA
"Asteraceae.subf..Asteroideae.undiff.",NA,NA
"Asteraceae.subf..Cichorioideae",NA,NA
"Asteraceae.undiff.",NA,NA
"Athyrium",NA,NA
"Athyrium.type",NA,NA
"Avena.Triticum",NA,NA
"Betula","Betula","Birch"
"Betulaceae.Myricaceae.undiff.","Betula","Birch"
"Betulaceae.undiff.","Betula","Birch"
"Betula.mean.pollen.grain.diameter","Betula","Birch"
"Betula..shrub.","Betula","Birch"
"Betula..small.","Betula","Birch"
"Betula..tree.","Betula","Birch"
"Betula.undiff.","Betula","Birch"
"Bistorta.bistortoides.type",NA,NA
"Bistorta.vivipara",NA,NA
"Boraginaceae",NA,NA
"Botrychium",NA,NA
"Botrychium.multifidum",NA,NA
"Botrychium.undiff.",NA,NA
"Botryococcus",NA,NA
"Brasenia",NA,NA
"Brasenia.schreberi",NA,NA
"Brassicaceae",NA,NA
"Brassicaceae.type",NA,NA
