"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"10285",1693000,334000,0.0075816,0.0002184,0.00107,0.0091396,0.0078556,0.0013824,0.04168,0.002398,0.0034196,9.72e-05,0.001524,0.1143344,0.00145,0.0522148,0.6011772,0.0655556,6.04e-05,1.16e-05,0.0023432,0.0144452,0.0473484,2.72e-05,0.0246656
"10286",1701000,334000,0.007036,0.0002144,0.0010716,0.0114372,0.007314,0.0021328,0.049512,0.0018932,0.002348,2.76e-05,0.0010488,0.1197572,0.0015928,0.0485888,0.601458,0.0660536,0.0002748,4.64e-05,0.0029388,0.014924,0.0366864,1.8e-05,0.0236256
"10287",1709000,334000,0.0097132,0.000608,0.0010068,0.0159676,0.0075012,0.0010312,0.049306,0.001432,0.0029228,0.0003948,0.0020528,0.1205584,0.0018128,0.0487544,0.5800484,0.0668452,0.000122,8.16e-05,0.0030284,0.0169236,0.04216,3.92e-05,0.0276896
"10288",1717000,334000,0.0077332,0.0003928,0.0009356,0.012744,0.0092488,0.0010804,0.0517984,0.0017804,0.0025284,0.0003812,0.0016152,0.11306,0.0015384,0.05036,0.5678936,0.0940588,0.0003048,4.84e-05,0.00257,0.0191644,0.038636,6e-05,0.0220672
"10289",1725000,334000,0.0077324,0.0001492,0.000842,0.0102296,0.0082572,0.0011468,0.048824,0.0007872,0.0033308,2.92e-05,0.00114,0.1089528,0.0019872,0.0535128,0.5657776,0.1096288,0.0001932,4e-05,0.0025744,0.0191348,0.0366316,2.2e-05,0.0190764
"10290",1733000,334000,0.0079372,0.0007524,0.0009856,0.011988,0.008532,0.0010932,0.0520744,0.0003704,0.003262,0.0003344,0.0025636,0.1008384,0.001244,0.0469524,0.5743676,0.1068356,6.8e-05,1.6e-05,0.0030144,0.02191,0.0329452,2.6e-05,0.0218892
"10291",1741000,334000,0.0079976,0.0009636,0.0009308,0.0112156,0.0105312,0.001192,0.0394936,0.0006492,0.0022936,5.36e-05,0.0009812,0.10335,0.00133,0.051684,0.546948,0.1427516,0.000134,0.0001028,0.0023448,0.0220072,0.0280744,5.6e-06,0.0249656
"10580",1685000,342000,0.0075048,0.0001112,0.001192,0.0100012,0.0083104,0.0010184,0.0395128,0.002056,0.0023116,8.44e-05,0.001264,0.1126432,0.0012624,0.049606,0.621956,0.0439844,7.4e-05,3.96e-05,0.0026616,0.0159736,0.0524528,6.88e-05,0.0259108
"10581",1693000,342000,0.0081056,0.0003564,0.0011096,0.009626,0.008676,0.0012868,0.0403516,0.001822,0.0023476,7.72e-05,0.0013352,0.1207368,0.001154,0.047716,0.6172532,0.0511916,5.84e-05,1.64e-05,0.0029408,0.0131568,0.0424704,3.2e-05,0.0281796
"10582",1701000,342000,0.008096,0.0003028,0.0010368,0.0097832,0.008558,0.0010096,0.0434152,0.002436,0.002646,0.0003404,0.0021324,0.0988752,0.0012332,0.0523144,0.6266112,0.0582844,0.0001628,2.28e-05,0.0027576,0.0149784,0.0392328,1.84e-05,0.0257524
"10583",1709000,342000,0.0070432,0.0003776,0.0010332,0.0131532,0.0074928,0.0011688,0.037524,0.0018556,0.0025512,0.0006948,0.0013944,0.1188716,0.00146,0.0493772,0.605858,0.069314,0.0001416,4.36e-05,0.0021072,0.015332,0.0374712,0.0001188,0.025616
"10584",1717000,342000,0.007762,0.0014632,0.0010116,0.0111692,0.0079356,0.001198,0.041672,0.0016424,0.0024684,0.0001852,0.0013548,0.1090052,0.001508,0.0528656,0.5853768,0.087108,0.0001796,7.8e-05,0.0026584,0.0195668,0.0408632,2.48e-05,0.0229032
"10585",1725000,342000,0.0060288,0.0002508,0.000778,0.009176,0.0073408,0.0014364,0.0436068,0.0010396,0.0022436,0.0004052,0.0009448,0.0976868,0.0016464,0.0480616,0.5839016,0.1122256,0.0001568,0.0001484,0.0014932,0.019498,0.0397884,5.6e-05,0.0220864
"10586",1733000,342000,0.0076464,0.000446,0.000946,0.0090872,0.0097656,0.0021032,0.04745,0.0006696,0.0020012,9.48e-05,0.0009408,0.09492,0.0015132,0.0501184,0.5768732,0.1175852,0.0001748,3.4e-05,0.0018932,0.0190408,0.0335008,0.0001052,0.0230904
"10587",1741000,342000,0.0070812,0.0001776,0.001074,0.0102916,0.0082484,0.0010932,0.0395924,0.000748,0.0021364,3e-04,0.001288,0.0976592,0.0010808,0.0492804,0.58833,0.1213052,0.0004916,0.00015,0.0019184,0.0203336,0.0272908,3.6e-05,0.0200932
"10875",1677000,350000,0.00689,0.000636,0.0010396,0.0105024,0.0086488,0.000744,0.0337108,0.0024804,0.00194,1.2e-05,0.0009636,0.1109388,0.0010548,0.0513236,0.6417676,0.0283416,3.48e-05,0.0002408,0.0032536,0.0124776,0.0548036,0.0001028,0.0280928
"10876",1685000,350000,0.0064768,0.0002492,0.0008624,0.0095204,0.009472,0.0008324,0.0355404,0.00219,0.0017772,1.6e-05,0.001402,0.1067936,0.0009184,0.0469796,0.640228,0.0424704,5.04e-05,0.0005712,0.0030876,0.012484,0.0509076,5.24e-05,0.027118
"10877",1693000,350000,0.007304,0.0002572,0.0008276,0.0113192,0.008354,0.0013524,0.0445392,0.0021148,0.0018464,0.0001636,0.0011984,0.1117396,0.0009096,0.0515444,0.6242136,0.0451272,9.96e-05,0.0002024,0.0021576,0.0124748,0.0434292,8.92e-05,0.028736
"10878",1701000,350000,0.0078176,0.0004328,0.0008544,0.0108788,0.0089132,0.0014512,0.0485676,0.001598,0.0025668,0.0001096,0.0021984,0.1060976,0.001436,0.05166,0.617864,0.0519216,9.24e-05,0.0001732,0.0028376,0.0180968,0.0369056,3.6e-05,0.0274908
"10879",1709000,350000,0.008974,0.0005496,0.000984,0.0114444,0.011428,0.0015612,0.0487936,0.00239,0.0028628,0.0001452,0.0018904,0.1267124,0.00184,0.057592,0.5721504,0.0617792,0.0001908,3.32e-05,0.0025944,0.0210448,0.0385852,3.32e-05,0.0264212
"10880",1717000,350000,0.0072648,0.0004784,0.0010444,0.0111972,0.0076076,0.0010676,0.0478812,0.0019388,0.0037284,3.88e-05,0.001386,0.1157512,0.0012216,0.0530152,0.5758392,0.0822128,0.0002136,5.08e-05,0.0024588,0.0197588,0.0405564,3.04e-05,0.025258
"10881",1725000,350000,0.0075784,0.0004808,0.0010884,0.012262,0.0089208,0.0013948,0.0424912,0.0008512,0.0025088,7.04e-05,0.0017848,0.1088588,0.0014068,0.0556268,0.5545116,0.1161868,0.0003272,8.92e-05,0.0022792,0.0226188,0.0386204,6.92e-05,0.0199736
"10882",1733000,350000,0.0076752,0.0006576,0.000856,0.0097728,0.0093472,0.0012988,0.0484828,0.0007864,0.0025636,3.8e-05,0.0010992,0.0973512,0.0016432,0.0524528,0.5755312,0.112514,0.000814,3.84e-05,0.002298,0.0203488,0.0316928,0.0001056,0.0226324
"10883",1741000,350000,0.0075384,0.000424,0.0006648,0.0095748,0.0084712,0.0012536,0.0408104,0.000732,0.0026116,0.0001872,0.0012996,0.105692,0.0013536,0.0473112,0.5687,0.1349828,0.0001916,4.48e-05,0.002298,0.0183832,0.0292256,8.32e-05,0.0181664
"10884",1749000,350000,0.0080924,0.000974,0.0009548,0.0098872,0.0090448,0.0014768,0.0408024,0.0009648,0.0026172,0.0002288,0.00096,0.112552,0.0018348,0.0511352,0.5398672,0.1437124,0.0005632,5.2e-05,0.0017772,0.0227592,0.0345972,0.0002548,0.0148916
