site.names,lon,lat,pre-settlement (sample #),certainty,notes
Basin Pond,-70.05,44.47,14,,
Belmont Bog,-77.916667,42.25,5,,
Berry Pond,-73.316667,42.5,2,0,This one has too coarse resolution to really assign it.
Big Pond,-78.55,39.766667,4,0,Too coarse
Boundary Pond,-70.675,45.566667,6,,
Brandreth Bog,-74.683333,43.916667,10,,
Burden Lake,-73.566667,42.604167,5,,
Carbuncle Pond,-71.783333,41.7,11,,
Caribou Bog,-68.77344,44.93672,4,0,Too coarse probably
Clear Pond,-74.016955,43.748575,4,,
Conroy Lake,-67.883333,46.283333,25,,
Crider's Pond,-77.55,39.966667,4,0,Too coarse
Deer Lake Bog,-71.833333,44.033333,3,,
Donut Pond Bog,-70.058333,41.275,15,,
Duck Pond,-70.0005,41.9327,6,,
Eagle Lake Bog,-71.666667,44.166667,5,0,Hard
Ely Lake,-75.833333,41.766667,5,,
First Pond,-75.026667,41.135278,9,,
Forge Pond,-74.399167,40.855833,10,,
Fresh Pond,-71.575,41.158333,8,,
Giles Lake,-75.093333,41.376111,13,,
Gould Pond,-69.316667,44.983333,10,,
Gould's Bog,-72.183333,42.533333,6,,
Green Pond,-74.49534,41.005055,10,,
Greenwater Pond,-73.316667,42.283333,,0,Too coarse
Hawley Bog Pond-1,-72.883333,42.566667,3,0,Too coarse
Helmetta Bog,-74.433333,40.383333,4,,
Houghton Bog,-78.670278,42.541667,5,,
Kinsman Pond,-71.733333,44.133333,6,,
Lake Lacawac,-75.292778,41.381944,20,,
Lonesome Lake,-71.701111,44.14,,0,None
Longswamp,-75.666667,40.483333,4,,
Loon Pond,-68.2,45.033333,4,,
Lost Pond,-71.251389,44.246944,5,,
Mansell Pond,-68.733333,45.041667,20,,
Mashapaug Pond,-71.433333,41.783333,24,,
Monhegan Island Meadow,-69.3,43.766667,2,,
Moulton Pond,-68.639167,44.6275,2,,
No Bottom Pond,-70.208333,41.283333,8,,
North Pond,-73.05,42.65,1,0,None
"Lake Ontario, Rochester Basin",-76.9,43.51,9,,
"Lake Ontario, Mississauga Basin",-78.15,43.556667,10,,
Panther Run Pond,-77.416667,40.8,3,,
Pasacaco Pond,-71.45,41.516667,35,,
Poland Spring Pond,-70.35,44.033333,6,,
Protection Bog,-78.466667,42.622222,6,,
Rogers Lake,-72.29915,41.3525,4,,
Rose Lake,-77.925,41.916667,1,0,None
Ross Pond,-69.410278,43.921389,5,,
Silver Lake,-74.98612,41.25182,,0,I think it’s deeper maybe.
Sinkhole Pond,-70.35,43.966667,5,,
Spring Lake,-76.35,41.673889,3,,
Spruce Pond,-74.1833,41.23687,11,,
Stockbridge Bowl,-73.15,42.333333,5,0,I think we don’t have enough here.
Sutherland Pond,-74.037778,41.391389,6,,
Swartswood Lake,-74.83698,41.072335,12,,
Szabo Pond,-74.483333,40.4,4,,
Tannersville Bog,-75.266667,41.033333,5,,
Taupawshas Bog,-70.058333,41.275,5,,
Titicut Swamp,-71.033333,41.95,7,,
Unknown Pond,-70.633333,45.6,,0,No clear
Upper South Branch Pond,-68.9,46.083333,7,,
Valhalla Hollow,-74.370833,44.308611,10,,
Windsor Pond,-72.980005,42.53693,,0,No clear
Winneconnet Pond,-71.116667,41.966667,4,,
Woodcliff Lake,-74.03,41.02,,0,Has it already happened?
Heart Lake,-73.9675,44.180556,2,,
Mohawk Pond,-73.292685,41.81115,,0,No clear
Tom Swamp,-72.2125,42.516667,,0,No clear
Upper Wallface Pond,-74.054167,44.146389,,0,No clear
Aino Pond,-71.926667,42.679722,35,,
Dead Frog Pond,-72.508611,42.574444,15,,
Hemlock Hollow,-72.178,42.5375,9,,
Linsley Pond,-72.784335,41.317115,27,,
Big Reed Pond Hollow,-69.0517,46.35065,4,,
Blackwoods Hollow,-68.22364,44.313195,3,,
Buckley Pond Hollow,-69.049415,46.334815,4,,
Isle au Haut North Hollow,-68.6354,44.0651,8,,
Isle au Haut South Hollow,-68.630365,44.031825,9,,
Roque Island Hollow,-67.530695,44.573075,5,,
Schoodic Peninsula Hollow,-68.0726,44.37328,4,,
South Bog,-67.20294,44.717555,20,,
Round Pond,-70.010335,41.97078,19,,
Deep Pond,-69.992095,41.739125,22,,
Icehouse Pond,-69.960575,41.797995,18,,
Eagle Pond,-70.13606,41.6982,9,,
Jemima Pond,-69.9847,41.82961,14,,
Sandy Hill Pond,-70.36407,41.689985,8,,
Fresh Pond,-70.532835,41.59412,16,,
Makepeace Cedar Swamp,-70.75736,41.93619,,0,No clear
Makepeace Cedar Swamp,-70.75736,41.93619,3,0,No clear
Makepeace Cedar Swamp,-70.75736,41.93619,,0,No clear
South Dansville Buried Peat,-77.641,42.49185,,0,No clear
Byron-Bergen Swamp (Site 2),-78.002715,43.09816,2,,
Byron-Bergen Swamp (Site 1),-78.014515,43.09791,3,,
Black Gum Swamp,-72.1829,42.5375,7,,
Balsam Lake,-74.604205,42.028785,,0,No clear
Devil's Bathtub,-77.57376,43.02469,,0,No clear
Goose Bay Marsh,-75.87042,44.351135,40,,
Lily Pond,-72.34693,42.417875,11,,
Prospect Hill II,-72.18,42.5625,12,,
Prospect Hill VII,-72.18,42.5625,,0,No clear
Slab City,-72.1775,42.508,,0,No clear
Slab City,-72.1775,42.508,15,,
Tannersville Bog,-75.266667,41.033333,16,,
Divers Lake,-78.399245,43.04099,7,,
Ballston Lake,-73.85325,42.94975,6,,
Hiscock Site,-78,43,9,,
Green Pond,-72.5108,42.56705,14,,
Lily Warwick,-72.337185,42.68839,29,,
Little Mirror Lake,-71.60848,42.524435,25,,
Otter Pond,-72.53319,42.65485,40,,
Silver Lake,-72.22854,42.600775,19,,
Binnewater Pond,-74.551335,41.40935,6,,
Pawelski Farm,-74.43065,41.33395,,0,No clear
Piermont Marsh,-73.908375,41.027635,,0,No clear
Lost Swamp,-72.4211,42.82814,8,,
Lake Grinnell,-74.63963,41.098185,2,,
Quag Pond,-71.95695,42.56725,22,,
Little Bolton,-71.58735,42.4222,,0,No clear
Snake Pond,-72.016405,42.55585,18,,
Lake Pleasant,-72.513,42.5604,19,,
Round Pond,-72.70505,42.173985,,0,No clear
