site.names,lon,lat,pre-settlement (sample #),certainty,notes
Basin Pond,-70.05,44.47,17,1,
Belmont Bog,-77.916667,42.25,5,3,
Berry Pond,-73.316667,42.5,3,1,bunch of castanea even in top sample?
Big Pond,-78.55,39.766667,4,2,
Boundary Pond,-70.675,45.566667,5,2,
Brandreth Bog,-74.683333,43.916667,4,1,
Burden Lake,-73.566667,42.604167,1,1,
Carbuncle Pond,-71.783333,41.7,11,2,
Caribou Bog,-68.77344,44.93672,2,3,
Clear Pond,-74.016955,43.748575,5,3,
Conroy Lake,-67.883333,46.283333,24,3,
Crider's Pond,-77.55,39.966667,3,1,
Deer Lake Bog,-71.833333,44.033333,4,3,
Donut Pond Bog,-70.058333,41.275,12,2,
Duck Pond,-70.0005,41.9327,7,2,
Eagle Lake Bog,-71.666667,44.166667,4,2,
Ely Lake,-75.833333,41.766667,6,3,
First Pond,-75.026667,41.135278,9,1,or it is really deep?
Forge Pond,-74.399167,40.855833,8,1,?
Fresh Pond,-71.575,41.158333,8,1,
Giles Lake,-75.093333,41.376111,10,1,?
Gould Pond,-69.316667,44.983333,11,3,
Gould's Bog,-72.183333,42.533333,7,2,
Green Pond,-74.49534,41.005055,12,2,
Greenwater Pond,-73.316667,42.283333,4,1,
Hawley Bog Pond-1,-72.883333,42.566667,4,2,
Helmetta Bog,-74.433333,40.383333,5,2,
Houghton Bog,-78.670278,42.541667,5,2,
Kinsman Pond,-71.733333,44.133333,6,2,
Lake Lacawac,-75.292778,41.381944,15,1,
Lonesome Lake,-71.701111,44.14,,,I'm not sure it is captured. Could be above 20cm?
Longswamp,-75.666667,40.483333,5,3,
Loon Pond,-68.2,45.033333,4,2,Depth scale can't be correct.
Lost Pond,-71.251389,44.246944,6,2,
Mansell Pond,-68.733333,45.041667,21,2,
Mashapaug Pond,-71.433333,41.783333,30,2,
Monhegan Island Meadow,-69.3,43.766667,4,3,
Moulton Pond,-68.639167,44.6275,4,2,
No Bottom Pond,-70.208333,41.283333,9,2,
North Pond,-73.05,42.65,2,2,
"Lake Ontario, Rochester Basin",-76.9,43.51,10,2,
"Lake Ontario, Mississauga Basin",-78.15,43.556667,11,3,
Panther Run Pond,-77.416667,40.8,5,1,
Pasacaco Pond,-71.45,41.516667,36,1,presumably too deep.
Poland Spring Pond,-70.35,44.033333,4,1,
Protection Bog,-78.466667,42.622222,7,2,
Rogers Lake,-72.29915,41.3525,12,1,
Rose Lake,-77.925,41.916667,2,1,
Ross Pond,-69.410278,43.921389,4,1,
Silver Lake,-74.98612,41.25182,17,1,
Sinkhole Pond,-70.35,43.966667,6,1,
Spring Lake,-76.35,41.673889,4,2,
Spruce Pond,-74.1833,41.23687,12,2,
Stockbridge Bowl,-73.15,42.333333,6,1,?
Sutherland Pond,-74.037778,41.391389,6,2,
Swartswood Lake,-74.83698,41.072335,14,2,
Szabo Pond,-74.483333,40.4,5,1,
Tannersville Bog,-75.266667,41.033333,6,3,
Taupawshas Bog,-70.058333,41.275,8,2,
Titicut Swamp,-71.033333,41.95,8,3,
Unknown Pond,-70.633333,45.6,4,2,
Upper South Branch Pond,-68.9,46.083333,9,2,
Valhalla Hollow,-74.370833,44.308611,11,2,
Windsor Pond,-72.980005,42.53693,5,1,??
Winneconnet Pond,-71.116667,41.966667,5,3,
Woodcliff Lake,-74.03,41.02,,,???
Heart Lake,-73.9675,44.180556,3,1,
Mohawk Pond,-73.292685,41.81115,2,2,
Tom Swamp,-72.2125,42.516667,2,1,
Upper Wallface Pond,-74.054167,44.146389,2,1,
Aino Pond,-71.926667,42.679722,23,1,
Dead Frog Pond,-72.508611,42.574444,15,1,
Hemlock Hollow,-72.178,42.5375,10,2,
Linsley Pond,-72.784335,41.317115,28,2,
Big Reed Pond Hollow,-69.0517,46.35065,5,2,
Blackwoods Hollow,-68.22364,44.313195,4,2,
Buckley Pond Hollow,-69.049415,46.334815,4,1,
Isle au Haut North Hollow,-68.6354,44.0651,10,2,
Isle au Haut South Hollow,-68.630365,44.031825,10,2,
Roque Island Hollow,-67.530695,44.573075,6,2,
Schoodic Peninsula Hollow,-68.0726,44.37328,7,2,
South Bog,-67.20294,44.717555,21,3,
Round Pond,-70.010335,41.97078,10,1,
Deep Pond,-69.992095,41.739125,22,2,
Icehouse Pond,-69.960575,41.797995,7,1,could be much deeper
Eagle Pond,-70.13606,41.6982,10,2,
Jemima Pond,-69.9847,41.82961,10,2,
Sandy Hill Pond,-70.36407,41.689985,9,2,
Fresh Pond,-70.532835,41.59412,17,2,
Makepeace Cedar Swamp,-70.75736,41.93619,4,1,could be #2
Makepeace Cedar Swamp,-70.75736,41.93619,4,1,
Makepeace Cedar Swamp,-70.75736,41.93619,2,1,really? Since it is not the top sample�.
South Dansville Buried Peat,-77.641,42.49185,3,1,not sure it isn't deeper
Byron-Bergen Swamp (Site 2),-78.002715,43.09816,3,3,
Byron-Bergen Swamp (Site 1),-78.014515,43.09791,4,2,
Black Gum Swamp,-72.1829,42.5375,8,2,
Balsam Lake,-74.604205,42.028785,,1,I could throw a dart at this one�
Devil's Bathtub,-77.57376,43.02469,,1,I could throw a dart at this one�
Goose Bay Marsh,-75.87042,44.351135,40,2,
Lily Pond,-72.34693,42.417875,12,2,
Prospect Hill II,-72.18,42.5625,13,2,
Prospect Hill VII,-72.18,42.5625,,1,I think it is deeper
Slab City,-72.1775,42.508,19,2,
Slab City,-72.1775,42.508,19,2,
Tannersville Bog,-75.266667,41.033333,9,1,
Divers Lake,-78.399245,43.04099,9,2,
Ballston Lake,-73.85325,42.94975,3,1,??
Hiscock Site,-78,43,11,1,
Green Pond,-72.5108,42.56705,16,2,
Lily Warwick,-72.337185,42.68839,15,1,
Little Mirror Lake,-71.60848,42.524435,24,1,
Otter Pond,-72.53319,42.65485,38,1,
Silver Lake,-72.22854,42.600775,21,1,
Binnewater Pond,-74.551335,41.40935,6,2,
Pawelski Farm,-74.43065,41.33395,,1,I could throw a dart at this one�
Piermont Marsh,-73.908375,41.027635,21,1,
Lost Swamp,-72.4211,42.82814,9,1,
Lake Grinnell,-74.63963,41.098185,3,2,
Quag Pond,-71.95695,42.56725,13,1,
Little Bolton,-71.58735,42.4222,34,1,???
Snake Pond,-72.016405,42.55585,17,1,
Lake Pleasant,-72.513,42.5604,20,1,
Round Pond,-72.70505,42.173985,,,huh?
