"site.names","dataset.id","site.id","lon","lat"
"Basin Pond",237,234,-70.05,44.47
"Belmont Bog",254,249,-77.916667,42.25
"Berry Pond",260,254,-73.316667,42.5
"Big Pond",274,268,-78.55,39.766667
"Boundary Pond",308,302,-70.675,45.566667
"Brandreth Bog",309,303,-74.683333,43.916667
"Burden Lake",324,317,-73.566667,42.604167
"Carbuncle Pond",338,331,-71.783333,41.7
"Caribou Bog",340,333,-68.77344,44.93672
"Clear Pond",494,482,-74.016955,43.748575
"Conroy Lake",503,491,-67.883333,46.283333
"Crider's Pond",523,510,-77.55,39.966667
"Deer Lake Bog",673,657,-71.833333,44.033333
"Donut Pond Bog",721,701,-70.058333,41.275
"Duck Pond",772,753,-70.0005,41.9327
"Eagle Lake Bog",776,757,-71.666667,44.166667
"Ely Lake",795,775,-75.833333,41.766667
"First Pond",831,807,-75.026667,41.135278
"Forge Pond",845,819,-74.399167,40.855833
"Fresh Pond",852,826,-71.575,41.158333
"Giles Lake",873,844,-75.093333,41.376111
"Gould Pond",971,941,-69.316667,44.983333
"Gould's Bog",972,942,-72.183333,42.533333
"Green Pond",983,953,-74.49534,41.005055
"Greenwater Pond",985,955,-73.316667,42.283333
"Hawley Bog Pond-1",1012,981,-72.883333,42.566667
"Helmetta Bog",1031,998,-74.433333,40.383333
"Houghton Bog",1113,1080,-78.670278,42.541667
"Kinsman Pond",1518,1481,-71.733333,44.133333
"Lake Lacawac",1568,1530,-75.292778,41.381944
"Lonesome Lake",1658,1607,-71.701111,44.14
"Longswamp",1661,1610,-75.666667,40.483333
"Loon Pond",1663,1611,-68.2,45.033333
"Lost Pond",1667,1615,-71.251389,44.246944
"Mansell Pond",1698,1643,-68.733333,45.041667
"Mashapaug Pond",1712,1656,-71.433333,41.783333
"Monhegan Island Meadow",1763,1707,-69.3,43.766667
"Moulton Pond",1773,1716,-68.639167,44.6275
"No Bottom Pond",1814,1756,-70.208333,41.283333
"North Pond",1817,1759,-73.05,42.65
"Lake Ontario, Rochester Basin",1833,1774,-76.9,43.51
"Lake Ontario, Mississauga Basin",1834,1775,-78.15,43.556667
"Panther Run Pond",1848,1789,-77.416667,40.8
"Pasacaco Pond",1859,1797,-71.45,41.516667
"Poland Spring Pond",1961,1896,-70.35,44.033333
"Protection Bog",1980,1914,-78.466667,42.622222
"Rogers Lake",2270,2194,-72.29915,41.3525
"Rose Lake",2289,2212,-77.925,41.916667
"Ross Pond",2292,2214,-69.410278,43.921389
"Silver Lake",2386,2304,-74.98612,41.25182
"Sinkhole Pond",2391,2308,-70.35,43.966667
"Spring Lake",2591,2507,-76.35,41.673889
"Spruce Pond",2593,2508,-74.1833,41.23687
"Stockbridge Bowl",2604,2517,-73.15,42.333333
"Sutherland Pond",2617,2527,-74.037778,41.391389
"Swartswood Lake",2621,2531,-74.83698,41.072335
"Szabo Pond",2623,2533,-74.483333,40.4
"Tannersville Bog",2626,2536,-75.266667,41.033333
"Taupawshas Bog",2629,2539,-70.058333,41.275
"Titicut Swamp",2645,2554,-71.033333,41.95
"Unknown Pond",2886,2791,-70.633333,45.6
"Upper South Branch Pond",2892,2795,-68.9,46.083333
"Valhalla Hollow",2902,2805,-74.370833,44.308611
"Windsor Pond",2957,2860,-72.980005,42.53693
"Winneconnet Pond",2959,2862,-71.116667,41.966667
"Woodcliff Lake",3034,2936,-74.03,41.02
"Heart Lake",3130,728,-73.9675,44.180556
"Mohawk Pond",3493,558,-73.292685,41.81115
"Tom Swamp",3790,562,-72.2125,42.516667
